Function;Use;Sharing;Reporting;Student_Type;Position_Type;Object_Type;Pre_K;Operating_Status;Object_Description;Text_2;SubFund_Description;Job_Title_Description;Text_3;Text_4;Sub_Object_Description;Location_Description;FTE;Function_Description;Facility_or_Department;Position_Extra;Total;Program_Description;Fund_Description;Text_1
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;Supplemental *;nan;Operation and Maintenance of Plant Services;nan;nan;nan;Non-Certificated Salaries And Wages;nan;nan;Care and Upkeep of Building Services;nan;nan;-8291.86;nan;Title I - Disadvantaged Children/Targeted Assistance;TITLE I CARRYOVER 
Student Transportation;NO_LABEL;Shared Services;Non-School;NO_LABEL;NO_LABEL;Other Non-Compensation;NO_LABEL;PreK-12 Operating;REPAIR AND MAINTENANCE SERVICES;nan;PUPIL TRANSPORTATION;nan;nan;nan;nan;ADMIN. SERVICES;nan;STUDENT TRANSPORT SERVICE;nan;nan;618.2900000000002;PUPIL TRANSPORTATION;General Fund;nan
Teacher Compensation;Instruction;School Reported;School;Unspecified;Teacher;Base Salary/Compensation;Non PreK;PreK-12 Operating;Personal Services - Teachers;nan;nan;TCHER 5TH GRADE;nan;Regular Instruction;nan;nan;1.0;nan;nan;TEACHER;49768.82;Instruction - Regular;General Purpose School;nan
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;General Supplies;nan;nan;nan;nan;nan;General Supplies;nan;nan;Instruction;Instruction And Curriculum;nan;-1.02;Title I, Part A Schoolwide Activities Related To State Comp;General Operating Fund;nan
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;Supplies and Materials;nan;Community Services;nan;nan;nan;Supplies And Materials;nan;nan;Other Community Services *;nan;nan;2304.43;nan;Title I - Disadvantaged Children/Targeted Assistance; TITLE I PI+HOMELESS
Enrichment;Pupil Services & Enrichment;School Reported;School;Unspecified;Club Advisor/Coach;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;ATHLETIC SUPPLEMENTS          ;nan;nan;COACHING SUPPLEMENT PAY       ;nan;nan;nan;School ;nan;BASIC (FEFP K-12)             ;nan;nan;1505.85;nan;GENERAL FUND                  ;nan
Professional Development;ISPD;School Reported;School;Unspecified;NO_LABEL;Travel & Conferences;NO_LABEL;PreK-12 Operating;CONFERENCE REGISTRATION       ;nan;nan;nan;nan;nan;nan;School ;nan;INST STAFF TRAINING SVCS      ;nan;nan;2400.59;nan;GENERAL FUND                  ;SCHOOL OPERATING ACCOUNT      
Physical Health & Services;Pupil Services & Enrichment;School on Central Budgets;Non-School;Special Education;Speech Therapist;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;nan;ARRA - STIMULUS;Speech Language Pathologst ;nan;nan;nan;SPECIAL EDUCATION;nan;IDEA ARRA;nan;PROFESSIONAL-INSTRUCTIONAL;228.57;SPECIAL EDUCATION-S/L-ATRT;nan;SPECIAL EDUCATION
Facilities Planning;Business Services;Leadership & Management;Non-School;Unspecified;Coordinator/Manager;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;OTHER SUPPORT PERSONNEL       ;nan;nan;MANAGER, GEOGRAPHIC INFO SYTMS;nan;nan;nan;CHIEF OF OPERATIONS           ;1.0;PLANNING,RES,DEV,& EVAL       ;nan;nan;104807.511087;nan;GENERAL FUND                  ;nan
Social & Emotional;Pupil Services & Enrichment;School Reported;School;Unspecified;Social Worker;Benefits;NO_LABEL;PreK-12 Operating;RETIREMENT CONTRIB.;nan;GENERAL FUND;Social Worker ;nan;nan;nan;nan;nan;EMPLOYEE RETIREMENT;nan;UNDESIGNATED;1086.75;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Extended Time & Tutoring;Instruction;School Reported;School;Unspecified;Teacher;Benefits;NO_LABEL;PreK-12 Operating;CONTRA BENEFITS;nan;GENERAL FUND;Teacher, Elementary ;nan;nan;nan;nan;nan;NON-PROJECT;nan;UNDESIGNATED;-894.7199999999997;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Substitute Compensation;Instruction;School Reported;School;Unspecified;Substitute;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;TEACHER SUBS;GENERAL FUND;Teacher, Short Term Sub ;Turnaround;nan;nan;nan;nan;UNALLOC BUDGETS/SCHOOLS;nan;PROFESSIONAL-INSTRUCTIONAL;2.83;GENERAL HIGH SCHOOL EDUCATION;nan;REGULAR INSTRUCTION
Other Compensation;Instruction;School on Central Budgets;Non-School;Unspecified;Other;Benefits;NO_LABEL;PreK-12 Operating;CONTRA BENEFITS;nan;GENERAL FUND;Geographic Systems Analyst ;nan;nan;nan;PLANNING AND INNOVATION;nan;NON-PROJECT;nan;UNDESIGNATED;-215.13;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Teacher Compensation;Instruction;School Reported;School;Special Education;Teacher;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF REGULAR EMPLOYEES;SEVERE DISABILITIES;GENERAL FUND;Teacher,Spec Ed Center Prg ;Regular;nan;nan;nan;nan;SPECIAL ED. - SEVERE NEEDS;nan;PROFESSIONAL-INSTRUCTIONAL;1863.98648;SPECIAL EDUCATION-HD MIDDLE;nan;SPECIAL EDUCATION
Teacher Compensation;Instruction;School Reported;School;Unspecified;Teacher;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF REGULAR EMPLOYEES;nan;GENERAL FUND;Teacher, Elementary ;Regular;nan;nan;nan;nan;ELA E-TEACHING SHELTERED ENG;nan;PROFESSIONAL-INSTRUCTIONAL;3730.44296;GENERAL K-8 EDUCATION;nan;REGULAR INSTRUCTION
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;Office Supplies;nan;Support Services--Pupils;nan;nan;nan;General Supplies *;nan;nan;Other Support Services - Pupils;nan;nan;-2048.98;nan;Miscellaneous Federal Grants;CHILD CARE
Student Assignment;Leadership;Shared Services;Non-School;Unspecified;Other;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF PART TIME EMPLOYEE;nan;GENERAL FUND;Temporary Employee ;nan;nan;nan;SCHOOL CHOICE;0.04916487068969999;NON-PROJECT;nan;PROFESSIONAL-OTHER;1671.14389037;PLANNING,RESEARCH,DEVELOPMENT;nan;CENTRAL
Teacher Compensation;Instruction;School Reported;School;NO_LABEL;Teacher;NO_LABEL;NO_LABEL;PreK-12 Operating;nan;nan;nan;Teacher-Instructional Support;nan;nan;nan;nan;0.5;nan;nan;nan;47626.14;Misc;General Fund;nan
Physical Health & Services;Pupil Services & Enrichment;School on Central Budgets;Non-School;Special Education;Other;Base Salary/Compensation;Non PreK;PreK-12 Operating;Personal Services - Health Services;nan;nan;nan;nan;Special Education Support;nan;District Wide Resources;0.0;nan;TIME CARD;TIME CARD CERTIFIED;188.1699;Principal's Office;General Purpose School;nan
Enrichment;Pupil Services & Enrichment;Shared Services;Non-School;Unspecified;Other;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Extra Duty Pay/Overtime For Support Personnel;nan;Operations;TRANSPORTATION,BUS DR. SPEC.ED;nan;Game Workers;Extra Duty Pay/Overtime For Support Personnel;Unallocated;nan;Extracurricular Activities;Athletic Department;ATHLETIC OPTIONAL PAY;1095.52;Athletics And Related Activities;General Operating Fund;GAME WORK
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;Overtime *;nan;Operation and Maintenance of Plant Services;nan;nan;nan;Non-Certificated Salaries And Wages;nan;nan;Care and Upkeep of Building Services;nan;nan;-348.88;nan;Title I - Disadvantaged Children/Targeted Assistance;PARENT INVOLVEMENT
Finance, Budget, Purchasing & Distribution;Business Services;Leadership & Management;Non-School;Unspecified;NO_LABEL;Travel & Conferences;Non PreK;PreK-12 Operating;Travel And Subsistence - Employee Only;nan;nan;nan;nan;nan;Travel And Subsistence - Employee Only;Administration - No Description Provided;nan;General Administration;Finance Department;nan;23689.93;Undistributed;General Operating Fund;nan
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;Salaries Or Wages For Support Personnel;nan;Title  Part A Improving Basic Programs;CLASSROOM AIDE, REGULAR;nan;nan;Salaries Or Wages For Support Personnel;Summer School;nan;Instruction;Instruction And Curriculum;AIDE;351.22;Title I, Part A Schoolwide Activities Related To State Comp;Title  Part A Improving Basic Programs;EXTENDED YEAR
Physical Health & Services;Pupil Services & Enrichment;School on Central Budgets;Non-School;Special Education;Physical Therapist;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;SPEECH & LANGUAGE;GENERAL FUND;Physical Therapist ;nan;nan;nan;SPECIAL EDUCATION;nan;SPECIAL EDUCATION - ITINERANT;nan;PROFESSIONAL-INSTRUCTIONAL;4816.06;SPECIAL EDUCATION-PT;nan;SPECIAL EDUCATION
Instructional Materials & Supplies;Instruction;School Reported;School;NO_LABEL;NO_LABEL;Supplies/Materials;NO_LABEL;PreK-12 Operating;SUPPLIES;nan;PRIMARY GRADES PROGRAM ;nan;nan;nan;nan;nan;nan;INSTRUCTION;nan;nan;5011.38;PRIMARY GRADES PROGRAM ;General Fund;nan
Professional Development;NO_LABEL;School Reported;School;NO_LABEL;NO_LABEL;Equipment & Equipment Lease;NO_LABEL;PreK-12 Operating;PURCHASE OF EQUIPMENT-OTHER THAN BUSES AND COMPUTE;nan;PROGRAM IMPROVEMENT INSTR;nan;nan;nan;nan;nan;nan;IMPROVEMENT OF INSTR SERV;nan;nan;244.78;Vocational  Grant-Program Improvement.;Vocational Education-Federal Funded;nan
Enrichment;Pupil Services & Enrichment;School Reported;School;Special Education;Teacher;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;ALL OTHER SUPPLEMENTS         ;nan;nan;TEACHER, ASD                  ;nan;nan;nan;School ;nan;BASIC (FEFP K-12)             ;nan;nan;745.4;nan;GENERAL FUND                  ;nan
Student Transportation;O&M;Shared Services;Non-School;Unspecified;Other;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Extra Duty Pay/Overtime For Support Personnel;nan;Operations;TRANSPORTATION,BUS DR., RADIO;nan;transportation - Second Runs;Extra Duty Pay/Overtime For Support Personnel;Unallocated;nan;Transportation;Transportation Department;BUS DRIVER;1752.45;Undistributed;General Operating Fund;EXTENDED DAYS
Other Compensation;Instruction;School Reported;School;Unspecified;Other;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;OTHER PERSONAL SERVICES       ;nan;nan;CLERICAL/TCHR ASST SUB        ;nan;nan;nan;School ;0.0;BASIC (FEFP K-12)             ;nan;nan;533.02;nan;GENERAL FUND                  ;nan
Extended Time & Tutoring;Instruction;School Reported;School;Poverty;Teacher;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;Title  School Improvement;TEACHER, REGULAR;nan;nan;Extended Day;School ;nan;Instruction;Instruction And Curriculum;TEACHER MASTER;77.94327802859999;Title I, Part A Schoolwide Activities Related To State Comp;Title  Part A Improving Basic Programs;EXTENDED DAYS
Career & Academic Counseling;Pupil Services & Enrichment;School Reported;School;Unspecified;Guidance Counselor;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF REGULAR EMPLOYEES;nan;GENERAL FUND;School Counselor, High Sch ;Turnaround;nan;nan;nan;nan;NON-PROJECT;nan;PROFESSIONAL-INSTRUCTIONAL;-168.93792;GUIDANCE SERVICES;nan;STUDENTS
Other Non-Compensation;Instruction;School Reported;School;Unspecified;Non-Position;Contracted Services;NO_LABEL;PreK-12 Operating;OTHER PROFESSIONAL SERVICES;nan;STATE AND LOCAL GDPG FUND;(blank);Regular;nan;nan;nan;nan;READ TO ACHIEVE ROUND THREE;nan;UNDESIGNATED;26986.01;GENERAL ELEMENTARY EDUCATION;nan;REGULAR INSTRUCTION
Facilities & Maintenance;O&M;Leadership & Management;Non-School;Unspecified;Non-Position;Rent/Utilities;NO_LABEL;PreK-12 Operating;SUNDAY PAY;PUBLIC UTILITIES;LOCAL;nan;nan;nan;nan;ARTS CENTER;nan;nan;nan;ADDITIONAL GROSS PAY;251.64;NON-INSTRUCTIONAL SUPPORT SERVICES;LOCAL FUND;nan
Facilities & Maintenance;NO_LABEL;School Reported;School;NO_LABEL;NO_LABEL;Rent/Utilities;NO_LABEL;PreK-12 Operating;ENERGY;nan;MISCELLANEOUS;nan;nan;nan;nan;nan;nan;MAINTENANCE AND OPERATING;nan;nan;252884.29;Misc;General Fund;nan
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;Salaries And Wages For Teachers And Other Professi;nan;Title  Part A Improving Basic Programs;TEACHER, REGULAR;nan;nan;Extended Year;Summer School;nan;Instruction;Instruction And Curriculum;TEACHER BACHELOR;1734.26119996;Title I, Part A Schoolwide Activities Related To State Comp;Title  Part A Improving Basic Programs;EXTENDED YEAR
Human Resources;Business Services;Leadership & Management;Non-School;Unspecified;Coordinator/Manager;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF REGULAR EMPLOYEES;EMPLOYEE BENEFITS;GENERAL FUND;Project Coordinator ;nan;nan;nan;EMPLOYEE BENEFITS;0.333340362986;EMPLOYEE BENEFITS;nan;PROFESSIONAL-OTHER;23859.5624074;STAFF SERVICES;nan;CENTRAL
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;Supplies and Materials;nan;Support Services - Instructional Staff;nan;nan;nan;Supplies And Materials;nan;nan;Instruction And Curriculum Development Services *;nan;nan;4569.93;nan;Special Trust;ITEMS-VARIOUS GRANTS
Food Services;O&M;School Reported;School;Unspecified;Other;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF PART TIME EMPLOYEE;FOOD SERVICES;FOOD SERVICE FUND;Food Service Worker II ;Regular;nan;nan;nan;0.0593755113172;NON-PROJECT;nan;CRAFTS, TRADES, AND SERVICES;998.721731507;FOOD PREPARATION/SERVING;nan;FOOD SERVICES OPERATIONS
Teacher Compensation;Instruction;School Reported;School;ELL;Teacher;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;Operations;TEACHER, BILINGUAL KINDERGATN;nan;nan;Critical Needs Incentive;School ;nan;Instruction;All Campus Payroll;TEACHER BACHELOR;4170.77393374;Bilingual Education And Special Language Programs;General Operating Fund;CRITICAL NEEDS SUPPLEMENT
Physical Health & Services;Pupil Services & Enrichment;School on Central Budgets;Non-School;Special Education;Speech Therapist;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;nan;FEDERAL GDPG FUND - FY ;Speech Language Pathologst ;nan;nan;nan;SPECIAL EDUCATION;nan;TITLE VI-IDEA B-MAIN;nan;PROFESSIONAL-INSTRUCTIONAL;56.25;SPECIAL EDUCATION-S/L;nan;SPECIAL EDUCATION
School Supervision;Leadership;Leadership & Management;Non-School;Unspecified;Area Officers;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;ALTERNATIVE ED / CONSTITUENCY;GENERAL FUND;Supt, Instructional ;nan;nan;nan;ALTERNATIVE ED / CONSTITUENCY;nan;NON-PROJECT;nan;ADMINISTRATOR;3032.96;SUPPORT SERVICES-INSTRUCTIONAL;nan;INSTRUCTIONAL STAFF
Instructional Materials & Supplies;Instruction;School Reported;School;NO_LABEL;NO_LABEL;Supplies/Materials;NO_LABEL;PreK-12 Operating;SUPPLIES;nan;PRIMARY EARLY INTERVENTION PROG ;nan;nan;nan;nan;nan;nan;INSTRUCTION;nan;nan;196.15;PRIMARY GRADES EARLY INTERVENTION PROGRAM  ;General Fund;nan
Extended Time & Tutoring;Instruction;School Reported;School;Poverty;Teacher;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;Title  Part A Improving Basic Programs;TEACHER, REGULAR;nan;nan;Extended Day;School ;nan;Instruction;Instruction And Curriculum;TEACHER BACHELOR;260.470005445;Title I, Part A Schoolwide Activities Related To State Comp;Title  Part A Improving Basic Programs;EXTENDED DAYS
Professional Development;ISPD;Shared Services;Non-School;Special Education;Teacher;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;ADDITIONAL/EXTRA DUTY PAY/STIP;nan;ARRA - STIMULUS;Teacher,Spec Ed Center Prg ;nan;nan;nan;SPECIAL EDUCATION;nan;IDEA ARRA;nan;PROFESSIONAL-INSTRUCTIONAL;96.59024;INSTRUCTIONAL STAFF TRAINING;nan;INSTRUCTIONAL STAFF
Aides Compensation;Instruction;School Reported;School;Special Education;TA;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;SEVERE DISABILITIES;GENERAL FUND;Elementary Spec Ed Para ;Regular;nan;nan;nan;nan;SPECIAL ED. - SEVERE NEEDS;nan;PARAPROFESSIONAL;301.24;SPECIAL EDUCATION;nan;SPECIAL EDUCATION
Student Assignment;Leadership;Shared Services;Non-School;Unspecified;Other;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;nan;GENERAL FUND;Specialist, New Schools ;nan;nan;nan;SCHOOL CHOICE;nan;NON-PROJECT;nan;PROFESSIONAL-OTHER;2591.2;PLANNING,RESEARCH,DEVELOPMENT;nan;CENTRAL
Social & Emotional;Pupil Services & Enrichment;School on Central Budgets;Non-School;Unspecified;Social Worker;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;PSYCHOLOGICAL SERVICES;GENERAL FUND;Social Worker ;nan;nan;nan;SOCIAL WORK SERVICES;nan;NON-PROJECT;nan;PROFESSIONAL-INSTRUCTIONAL;511.53;SOCIAL WORK SERVICES;nan;STUDENTS
Physical Health & Services;NO_LABEL;School Reported;School;NO_LABEL;Nurse Aide;NO_LABEL;NO_LABEL;PreK-12 Operating;nan;nan;nan;Clinic Assistant;nan;nan;nan;nan;1.0;nan;nan;CLINIC ASSISTANT ;26960.2016384;NURSES;General Fund;nan
Data Processing & Information Services;Business Services;School Reported;School;Unspecified;Other;Base Salary/Compensation;Non PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;Operations;COMPUTER TECHNOLOGY SPECIALIST;nan;Undistributed;Allotment Supplement (Career Ladder) Supplement;School ;0.01;Instructional Resources And Media Services;All Campus Payroll;TEACHER BACHELOR;962.651340602;Undistributed;General Operating Fund;REGULAR PAY
Teacher Compensation;Instruction;School Reported;School;Unspecified;Teacher;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;nan;GENERAL FUND;Teacher, Elementary ;Regular;nan;nan;nan;nan;ELA E-TEACHING SHELTERED ENG;nan;PROFESSIONAL-INSTRUCTIONAL;5000.88;GENERAL ELEMENTARY EDUCATION;nan;REGULAR INSTRUCTION
Aides Compensation;Instruction;School Reported;School;PreK;TA;Other Compensation/Stipend;PreK;PreK-12 Operating;ADDITIONAL/EXTRA DUTY PAY/STIP;nan;DISTRICT SPECIAL REVENUE FUNDS;Early Childhood Education ;Regular;nan;nan;nan;nan;Innovation Grant;nan;PROFESSIONAL-INSTRUCTIONAL;2191.56;GENERAL K-8 EDUCATION;nan;REGULAR INSTRUCTION
Food Services;O&M;School Reported;School;Unspecified;Other;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF PART TIME EMPLOYEE;FOOD SERVICES;FOOD SERVICE FUND;Food Service Worker II ;Regular;nan;nan;nan;0.524555390069;NON-PROJECT;nan;CRAFTS, TRADES, AND SERVICES;7174.68174736;FOOD PREPARATION/SERVING;nan;FOOD SERVICES OPERATIONS
Aides Compensation;Instruction;Shared Services;Non-School;Special Education;TA;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF PART TIME EMPLOYEE;SPECIAL ED SYSTEMWIDE COSTS;GENERAL FUND;Summer School Para ;nan;nan;nan;SUMMER SCHOOL - ELEMENTARY SCH;0.044436657405599995;SPECIAL ED - EARLY CHILDHOOD;nan;PARAPROFESSIONAL;1266.4677215;SPECIAL EDUCATION;nan;SPECIAL EDUCATION
Physical Health & Services;NO_LABEL;School Reported;School;NO_LABEL;Physical Therapist;NO_LABEL;NO_LABEL;PreK-12 Operating;nan;nan;nan;Physical Therapist;nan;nan;nan;nan;0.2;nan;nan;PHYSICAL THERAPIST ;16576.420000000002;SPECIAL EDUCATION CATEGORY V;General Fund;nan
Data Processing & Information Services;Business Services;School Reported;School;Unspecified;Other;Base Salary/Compensation;Non PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;Operations;COMPUTER TECHNOLOGY SPECIALIST;nan;Undistributed;Salaries And Wages For Teachers And Other Professi;School ;0.44;Instructional Resources And Media Services;All Campus Payroll;TEACHER MASTER;28641.7454203;Undistributed;General Operating Fund;REGULAR PAY
Teacher Compensation;Instruction;School on Central Budgets;Non-School;Special Education;Teacher;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;ADDITIONAL/EXTRA DUTY PAY/STIP;HUMANITIES;GENERAL FUND;Teacher;nan;nan;nan;HUMANITIES;nan;CORE MATTERS;nan;PROFESSIONAL-INSTRUCTIONAL;47.88512;INSTRUCTIONAL STAFF TRAINING;nan;INSTRUCTIONAL STAFF
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Operating, Not PreK-12;Personal Services - Other Compensation;nan;nan;nan;nan;Adult Programs;nan;nan;0.0;nan;CAREER AND TECHNOLOGY EDUCATION;TIME CARD CERTIFIEDAddl;2685.02;Support - Regular Instruction;General Purpose School;nan
Facilities & Maintenance;O&M;School Reported;School;Unspecified;Custodian;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;nan;CUSTODIAL SERVICES;LOCAL;CUSTODIAN;nan;nan;nan;nan;1.0;nan;nan;nan;40392.83437310001;nan;nan;nan
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;NONCAPITALIZED  REMOD/RENOV   ;nan;nan;nan;nan;nan;nan;School ;nan;FACILITIES ACQ AND CONST      ;nan;nan;780.35;nan;MILLAGE                  ;GENERAL MAINTENANCE-Host Bgt  
