date,country,gdp,series_code
0,1990-01-01,Australia,158051.13240,NYGDPMKTPSAKD
1,1990-04-01,Australia,158263.58160,NYGDPMKTPSAKD
2,1990-07-01,Australia,157329.27900,NYGDPMKTPSAKD
3,1990-09-01,Australia,158240.67810,NYGDPMKTPSAKD
4,1991-01-01,Australia,156195.95350,NYGDPMKTPSAKD
5,1991-04-01,Australia,155989.03270,NYGDPMKTPSAKD
6,1991-07-01,Australia,156635.85760,NYGDPMKTPSAKD
7,1991-09-01,Australia,156744.05660,NYGDPMKTPSAKD
8,1992-01-01,Australia,157916.08110,NYGDPMKTPSAKD
9,1992-04-01,Australia,159047.82710,NYGDPMKTPSAKD
10,1992-07-01,Australia,160658.17600,NYGDPMKTPSAKD
11,1992-09-01,Australia,163960.22070,NYGDPMKTPSAKD
12,1993-01-01,Australia,165097.49510,NYGDPMKTPSAKD
13,1993-04-01,Australia,166027.05900,NYGDPMKTPSAKD
14,1993-07-01,Australia,166203.17860,NYGDPMKTPSAKD
15,1993-09-01,Australia,169279.34790,NYGDPMKTPSAKD
16,1990-01-01,Sweden,79837.84599,NYGDPMKTPSAKD
17,1990-04-01,Sweden,80582.28597,NYGDPMKTPSAKD
18,1990-07-01,Sweden,79974.36017,NYGDPMKTPSAKD
19,1990-09-01,Sweden,80106.49738,NYGDPMKTPSAKD
20,1991-01-01,Sweden,79524.24192,NYGDPMKTPSAKD
21,1991-04-01,Sweden,79073.05901,NYGDPMKTPSAKD
22,1991-07-01,Sweden,79084.77036,NYGDPMKTPSAKD
23,1991-09-01,Sweden,79740.60625,NYGDPMKTPSAKD
24,1992-01-01,Sweden,79390.92175,NYGDPMKTPSAKD
25,1992-04-01,Sweden,79060.28298,NYGDPMKTPSAKD
26,1992-07-01,Sweden,78904.60477,NYGDPMKTPSAKD
27,1992-09-01,Sweden,76996.83684,NYGDPMKTPSAKD
28,1993-01-01,Sweden,75783.58777,NYGDPMKTPSAKD
29,1993-04-01,Sweden,76708.54823,NYGDPMKTPSAKD
30,1993-07-01,Sweden,77662.01816,NYGDPMKTPSAKD
31,1993-09-01,Sweden,77703.30364,NYGDPMKTPSAKD
